family,task_id,context,question_count,f1,f1_std,cost,input_tokens,output_tokens
CodeAct,10,100,5.0,0.6061329781329782,0.044280705561835255,0.031342077999999995,36094.84,13561.68
CodeAct,10,500,5.0,0.2815873015873016,0.03215764895783488,0.024961256,111598.88,8992.08
CodeAct,10b,100,5.0,0.6700477300477301,0.05740843911026382,0.047060868,62888.4,20076.36
CodeAct,10b,500,5.0,0.2588571428571429,0.0677260052814517,0.03203046,139797.04,11543.8
CodeAct,13,100,1.0,1.0,0.0,0.028414619999999998,34066.8,12204.0
CodeAct,13,500,1.0,0.3992793046746535,0.1723564685775378,0.03355686,113430.0,12734.4
CodeAct,14,100,1.0,1.0,0.0,0.02907594,33299.6,12423.2
CodeAct,14,500,1.0,0.03431808460903385,0.021716475624952592,0.02654579,118900.6,9602.0
CodeAct,15,100,1.0,0.988235294117647,0.02352941176470593,0.02813964,31645.6,12161.8
CodeAct,15,500,1.0,0.1826923076923077,0.07065835796489939,0.01648319,107067.8,5200.2
CodeAct,17,100,1.0,0.5673626373626374,0.11681354863330812,0.02951416,33040.0,12697.8
CodeAct,17,500,1.0,0.10926072317376664,0.06090374854969091,0.026979839999999998,114944.0,9896.0
CodeAct,18,100,1.0,0.346693684566025,0.17890184365659345,0.02758447,27520.6,12218.4
CodeAct,18,500,1.0,0.05038175798107918,0.04458136793931075,0.02316244,99887.2,8472.6
CodeAct,20,100,1.0,0.7777777777777778,0.39126259692575577,0.02407991,25752.6,10618.0
CodeAct,20,500,1.0,0.08,0.04,0.0285825,124797.2,9923.6
CodeAct,21,100,1.0,0.8666666666666667,0.26666666666666666,0.02633023,27263.0,11606.2
CodeAct,21,500,1.0,0.3778341615930081,0.25674875274451603,0.03899073,104209.0,16655.8
CodeAct,22,100,1.0,0.868997668997669,0.13177401728006136,0.03367581,37267.4,14754.2
CodeAct,22,500,1.0,0.0380952380952381,0.046656947481584346,0.02752234,138461.2,10078.8
CodeAct,23,100,1.0,0.8235294117647058,0.35294117647058826,0.02745009,28505.0,12051.2
CodeAct,23,500,1.0,0.06666666666666668,0.13333333333333336,0.029813759999999998,120044.8,11432.8
CodeAct,24,100,1.0,1.0,0.0,0.02663694,31686.0,11448.6
CodeAct,24,500,1.0,0.13333333333333336,0.16329931618554522,0.03866094,137062.0,15218.2
CodeAct,6,100,4.0,0.6113511488511488,0.09936767890679155,0.033171605,44218.1,14423.1
CodeAct,6,500,4.0,0.13522486772486772,0.06993779905316978,0.02330458,111214.8,8408.6
