project,task_family,task_number,model_name,context_size,run_id,run_name,created_at,sample_id,metric,value,sample_cost_usd,run_samples_with_cost,run_total_cost_usd,run_avg_cost_per_sample_usd
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,100,sk9dtavr,swept-dream-9,2026-04-21T08:30:06Z,0,precision,1.0,0.038945650000000005,5,0.33555285,0.06711057000000001
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,100,sk9dtavr,swept-dream-9,2026-04-21T08:30:06Z,0,recall,0.95,0.038945650000000005,5,0.33555285,0.06711057000000001
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,100,sk9dtavr,swept-dream-9,2026-04-21T08:30:06Z,0,f1,0.9743589743589745,0.038945650000000005,5,0.33555285,0.06711057000000001
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,100,sk9dtavr,swept-dream-9,2026-04-21T08:30:06Z,1,precision,0.9523809523809524,0.06720505,5,0.33555285,0.06711057000000001
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,100,sk9dtavr,swept-dream-9,2026-04-21T08:30:06Z,1,recall,0.9523809523809524,0.06720505,5,0.33555285,0.06711057000000001
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,100,sk9dtavr,swept-dream-9,2026-04-21T08:30:06Z,1,f1,0.9523809523809524,0.06720505,5,0.33555285,0.06711057000000001
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,100,sk9dtavr,swept-dream-9,2026-04-21T08:30:06Z,2,precision,0.9166666666666666,0.06461705000000001,5,0.33555285,0.06711057000000001
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,100,sk9dtavr,swept-dream-9,2026-04-21T08:30:06Z,2,recall,0.44,0.06461705000000001,5,0.33555285,0.06711057000000001
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,100,sk9dtavr,swept-dream-9,2026-04-21T08:30:06Z,2,f1,0.5945945945945945,0.06461705000000001,5,0.33555285,0.06711057000000001
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,100,sk9dtavr,swept-dream-9,2026-04-21T08:30:06Z,3,precision,0.0,0.05446155,5,0.33555285,0.06711057000000001
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,100,sk9dtavr,swept-dream-9,2026-04-21T08:30:06Z,3,recall,0.0,0.05446155,5,0.33555285,0.06711057000000001
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,100,sk9dtavr,swept-dream-9,2026-04-21T08:30:06Z,3,f1,0.0,0.05446155,5,0.33555285,0.06711057000000001
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,100,sk9dtavr,swept-dream-9,2026-04-21T08:30:06Z,4,precision,0.8333333333333334,0.11032355,5,0.33555285,0.06711057000000001
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,100,sk9dtavr,swept-dream-9,2026-04-21T08:30:06Z,4,recall,0.25,0.11032355,5,0.33555285,0.06711057000000001
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,100,sk9dtavr,swept-dream-9,2026-04-21T08:30:06Z,4,f1,0.3846153846153846,0.11032355,5,0.33555285,0.06711057000000001
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,100,ihm00hp5,spring-disco-7,2026-04-20T22:04:24Z,0,precision,1.0,0.05076375,5,0.3138056,0.06276112
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,100,ihm00hp5,spring-disco-7,2026-04-20T22:04:24Z,0,recall,0.35,0.05076375,5,0.3138056,0.06276112
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,100,ihm00hp5,spring-disco-7,2026-04-20T22:04:24Z,0,f1,0.5185185185185185,0.05076375,5,0.3138056,0.06276112
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,100,ihm00hp5,spring-disco-7,2026-04-20T22:04:24Z,1,precision,1.0,0.0679648,5,0.3138056,0.06276112
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,100,ihm00hp5,spring-disco-7,2026-04-20T22:04:24Z,1,recall,0.9523809523809524,0.0679648,5,0.3138056,0.06276112
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,100,ihm00hp5,spring-disco-7,2026-04-20T22:04:24Z,1,f1,0.975609756097561,0.0679648,5,0.3138056,0.06276112
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,100,ihm00hp5,spring-disco-7,2026-04-20T22:04:24Z,2,precision,1.0,0.04420985,5,0.3138056,0.06276112
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,100,ihm00hp5,spring-disco-7,2026-04-20T22:04:24Z,2,recall,0.08,0.04420985,5,0.3138056,0.06276112
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,100,ihm00hp5,spring-disco-7,2026-04-20T22:04:24Z,2,f1,0.14814814814814814,0.04420985,5,0.3138056,0.06276112
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,100,ihm00hp5,spring-disco-7,2026-04-20T22:04:24Z,3,precision,0.0,0.06555214999999999,5,0.3138056,0.06276112
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,100,ihm00hp5,spring-disco-7,2026-04-20T22:04:24Z,3,recall,0.0,0.06555214999999999,5,0.3138056,0.06276112
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,100,ihm00hp5,spring-disco-7,2026-04-20T22:04:24Z,3,f1,0.0,0.06555214999999999,5,0.3138056,0.06276112
