task_number,metric,model_name,left_family,left_avg,right_family,right_avg,delta_left_minus_right
6,f1,openai/gpt-5-mini,CodeAct,0.4118022910218032,RLMs,0.5110488225239843,-0.0992465315021811
6,f1,x-ai/grok-4-fast,CodeAct,0.3588476886907787,RLMs,0.36781122619677054,-0.008963537505991825
6,precision,openai/gpt-5-mini,CodeAct,0.6135497835497836,RLMs,0.5188842543830922,0.09466552916669146
6,precision,x-ai/grok-4-fast,CodeAct,0.5545454545454546,RLMs,0.530597491992236,0.023947962553218516
6,recall,openai/gpt-5-mini,CodeAct,0.36676190476190473,RLMs,0.5845442229504886,-0.21778231818858385
6,recall,x-ai/grok-4-fast,CodeAct,0.2992952380952381,RLMs,0.3141740109207007,-0.014878772825462572
7,f1,openai/gpt-5-mini,CodeAct,0.5690117992863988,RLMs,0.6761143506314549,-0.10710255134505609
7,f1,x-ai/grok-4-fast,CodeAct,0.6995289082153309,RLMs,0.5560527727120759,0.143476135503255
7,precision,openai/gpt-5-mini,CodeAct,0.7150641025641026,RLMs,0.6876655354926048,0.027398567071497792
7,precision,x-ai/grok-4-fast,CodeAct,0.7468726675623227,RLMs,0.5834725703146756,0.16340009724764715
7,recall,openai/gpt-5-mini,CodeAct,0.5289393939393939,RLMs,0.7142660306726637,-0.18532663673326977
7,recall,x-ai/grok-4-fast,CodeAct,0.705,RLMs,0.5390337471301558,0.16596625286984412
8,f1,openai/gpt-5-mini,CodeAct,0.23727541543881397,RLMs,0.6433070086422306,-0.4060315932034166
8,f1,x-ai/grok-4-fast,CodeAct,0.3362828241386116,RLMs,0.6743260929637346,-0.338043268825123
8,precision,openai/gpt-5-mini,CodeAct,0.5329545454545455,RLMs,0.6197764729112961,-0.08682192745675066
8,precision,x-ai/grok-4-fast,CodeAct,0.4916666666666667,RLMs,0.8642595908812699,-0.3725929242146032
8,recall,openai/gpt-5-mini,CodeAct,0.1869047619047619,RLMs,0.7543614938957884,-0.5674567319910265
8,recall,x-ai/grok-4-fast,CodeAct,0.2636904761904762,RLMs,0.5890194970581071,-0.3253290208676309
9,f1,openai/gpt-5-mini,CodeAct,0.2962173932333861,RLMs,0.5143943184331018,-0.2181769251997157
9,f1,x-ai/grok-4-fast,CodeAct,0.2524726065829992,RLMs,0.41990089009296977,-0.16742828350997058
9,precision,openai/gpt-5-mini,CodeAct,0.4721693121693122,RLMs,0.6415305252471678,-0.16936121307785562
9,precision,x-ai/grok-4-fast,CodeAct,0.3916952380952381,RLMs,0.4941254815205479,-0.10243024342530982
9,recall,openai/gpt-5-mini,CodeAct,0.2731818181818182,RLMs,0.5752437030051767,-0.3020618848233585
9,recall,x-ai/grok-4-fast,CodeAct,0.21412121212121213,RLMs,0.40554584123838566,-0.19142462911717353
10,f1,openai/gpt-5-mini,CodeAct,0.735765271020689,RLMs,0.41567487081682625,0.32009040020386276
10,f1,x-ai/grok-4-fast,CodeAct,0.683408647882332,RLMs,0.36612463073257856,0.31728401714975346
10,precision,openai/gpt-5-mini,CodeAct,0.7437860750360751,RLMs,0.379252364517211,0.3645337105188641
10,precision,x-ai/grok-4-fast,CodeAct,0.6927450980392157,RLMs,0.34433896467562014,0.34840613336359555
10,recall,openai/gpt-5-mini,CodeAct,0.755,RLMs,0.76,-0.0050000000000000044
10,recall,x-ai/grok-4-fast,CodeAct,0.725,RLMs,0.73125,-0.006249999999999978
